State,,,Turnout Rates,,,Numerators,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,,
,State Results Website,Status,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted (Estimate),Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
United States,,,60.2%,59.3%,54.7%,"138,846,571","136,665,420","230,593,103","250,055,734",8.4%,"1,493,706","2,298,993","461,472","3,242,614","4,739,596",
Alabama,http://www.alabamavotes.gov/downloads/election/2016/general/2016-Official-General-Election-Results-Certified-2016-11-29.pdf,Official,59.2%,58.9%,56.3%,"2,134,061","2,123,372","3,602,618","3,770,142",2.6%,"31,691","53,640","8,097","69,826",,AL
Alaska,http://www.elections.alaska.gov/results/16GENR/,Official,61.8%,61.3%,57.4%,"321,271","318,608","520,042","555,367",4.3%,"5,216","7,077","2,210","11,389",,AK
Arizona,http://apps.azsos.gov/election/2016/General/Official%20Signed%20State%20Canvass.pdf,Official,56.2%,55.4%,49.2%,"2,661,497","2,623,582","4,737,055","5,331,034",9.5%,"37,516","73,232","7,502","86,028",,AZ
Arkansas,http://results.enr.clarityelections.com/AR/63912/182850/Web01/en/summary.html,Official,53.1%,52.7%,49.4%,"1,137,772","1,130,635","2,144,255","2,286,625",3.8%,"17,756","28,192","21,743","55,287",,AR
California,http://www.sos.ca.gov/elections/prior-elections/statewide-election-results/general-election-november-8-2016/statement-vote/,Official,58.4%,56.7%,47.0%,"14,610,509","14,181,595","25,010,913","30,201,571",16.7%,"136,088",0,0,"136,088",,CA
Colorado,http://results.enr.clarityelections.com/CO/63746/182883/Web01/en/summary.html,Official,72.1%,70.1%,64.6%,"2,859,216","2,780,220","3,966,086","4,305,728",7.2%,"19,121",0,"10,067","29,188",,CO
Connecticut,http://ctemspublic.pcctg.net/#/home,Official,65.4%,64.2%,58.3%,"1,675,934","1,644,920","2,561,064","2,821,935",8.6%,"16,113",0,"2,564","18,677",,CT
Delaware,http://elections.delaware.gov/results/html/election.shtml,Official,64.6%,64.4%,59.2%,"445,228","443,814","688,723","749,872",6.0%,"6,625","15,665",676,"16,073",,DE
District of Columbia,https://www.dcboee.org/election_info/election_results/v3/2016/November-8-General-Election,Official,61.1%,60.9%,55.4%,"312,575","311,268","511,463","562,329",9.0%,0,0,0,0,,DC
Florida,http://enight.elections.myflorida.com/FederalOffices/Presidential/,Official,65.8%,64.7%,56.9%,"9,580,489","9,420,039","14,569,400","16,565,588",10.7%,"95,671","227,087","4,519","227,359",,FL
Georgia,http://results.enr.clarityelections.com/GA/63991/182885/en/summary.html,Official,60.1%,59.3%,52.6%,"4,165,405","4,114,732","6,935,815","7,828,207",7.1%,"50,499","471,067","25,547","339,844",,GA
Hawaii,http://elections.hawaii.gov/wp-content/results/histatewide.pdf,Official,43.0%,42.2%,38.3%,"437,664","428,937","1,017,045","1,120,465",8.7%,"5,721",0,0,"5,721",,HI
Idaho,http://www.sos.idaho.gov/elect/results/2016/General/statewide_totals.html,Official,60.8%,59.1%,55.0%,"710,545","690,255","1,167,795","1,253,925",4.4%,"7,901","33,450","4,217","30,850",,ID
Illinois,https://www.elections.il.gov/ElectionResults.aspx?ID=vlS7uG8NT%2f0%3d,Offiical,63.4%,61.9%,56.1%,"5,666,118","5,536,424","8,941,119","9,866,799",8.9%,"46,465",0,0,"46,465",,IL
Indiana,http://www.in.gov/apps/sos/election/general/general2016,Official,57.9%,56.4%,54.0%,"2,807,676","2,734,958","4,850,754","5,063,393",3.6%,"28,638",0,0,"28,638",,IN
Iowa,https://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabView=StateRaces^Federal%20/%20Statewide%20Races^86&ElectionID=86,Official,69.0%,68.4%,65.1%,"1,581,371","1,566,031","2,290,605","2,406,915",3.5%,"8,686","29,929","5,769","31,215",,IA
Kansas,http://www.kssos.org/elections/16elec/2016_General_Election_Official_Results.pdf,Official,59.7%,57.7%,54.0%,"1,225,667","1,184,402","2,052,543","2,192,423",5.4%,"9,326","16,328","4,051","22,521",,KS
Kentucky,http://elect.ky.gov/results/2010-2019/Documents/2016%20General%20Election%20Results.pdf,Offiical,,58.7%,56.1%,,"1,924,149","3,277,147","3,430,652",2.5%,"21,402","54,107","16,729","68,431",,KY
Louisiana,https://voterportal.sos.la.gov/Graphical,Official,60.6%,60.0%,56.8%,"2,049,531","2,029,032","3,381,163","3,571,652",2.8%,"37,881","40,979","29,619","90,448",,LA
Maine,http://www.maine.gov/sos/cec/elec/results/results16-17.html#nov,Official,72.8%,70.5%,69.4%,"771,892","747,927","1,060,905","1,078,037",1.6%,0,0,0,0,,ME
Maryland,http://elections.maryland.gov/elections/2016/results/General/gen_results_2016_4_001-.html,Official,67.2%,66.6%,59.5%,"2,807,322","2,781,446","4,174,652","4,670,900",9.0%,"20,388","79,539","11,537","76,467",,MD
Massachusetts,http://www.sec.state.ma.us/ele/elepdf/2016-Electors-Certification.pdf,Offiical,68.3%,67.2%,61.1%,"3,378,801","3,325,046","4,946,530","5,442,458",8.9%,"10,014",0,0,"10,014",,MA
Michigan,http://miboecfr.nictusa.com/election/results/2016GEN_CENR.html,Official,65.7%,64.7%,62.0%,"4,874,619","4,799,284","7,422,318","7,744,567",3.6%,"42,900",0,0,"42,900",,MI
Minnesota,http://www.sos.state.mn.us/elections-voting/2016-general-election-results/,Official,74.8%,74.2%,69.4%,"2,968,281","2,944,813","3,967,951","4,240,423",4.7%,"10,003","97,661","6,642","71,335",,MN
Mississippi,http://www.sos.ms.gov/Elections-Voting/Pages/2016-General-Election.aspx,Official,,55.6%,53.3%,,"1,209,357","2,176,404","2,268,089",1.9%,"18,756","34,398","9,883","47,902",,MS
Missouri,http://enr.sos.mo.gov/enrnet/default.aspx?eid=750003949,Official,62.3%,62.3%,59.6%,"2,811,549","2,808,605","4,510,515","4,710,784",2.6%,"31,432","47,303","18,495","76,417",,MO
Montana,http://mtelectionresults.gov/,Official,64.3%,61.5%,60.5%,"516,901","494,526","804,367","817,702",1.2%,"3,681",0,0,"3,681",,MT
Nebraska,http://www.sos.ne.gov/elec/2016/pdf/2016-canvass-book.pdf,Official,63.8%,62.5%,58.8%,"860,573","844,227","1,349,736","1,436,437",5.1%,"5,221","12,940","1,067","13,534",,NE
Nevada,http://silverstateelection.com/,Official,57.3%,57.3%,49.4%,"1,125,429","1,125,385","1,964,765","2,276,281",12.6%,"12,537","12,027","5,927","25,199",,NV
New Hampshire,http://sos.nh.gov/2016GenResults.aspx,Official,72.5%,71.4%,69.1%,"755,850","744,158","1,041,999","1,076,739",3.0%,"2,867",0,0,"2,867",,NH
New Jersey,http://www.state.nj.us/state/elections/2016-results/2016-official-general-results-president-1206b.pdf,Official,65.4%,64.0%,55.7%,"3,957,303","3,874,046","6,054,737","6,959,892",11.6%,"20,255","115,898","14,889","100,047",,NJ
New Mexico,http://electionresults.sos.state.nm.us/,Official,55.2%,54.8%,50.2%,"804,043","798,319","1,456,901","1,591,069",7.3%,"6,879","16,060","2,255","18,128",,NM
New York,http://www.elections.ny.gov/2016ElectionResults.html,Official,57.3%,56.8%,49.6%,"7,786,881","7,721,453","13,590,053","15,557,982",12.0%,"48,376",0,"44,889","93,265",,NY
North Carolina,http://er.ncsbe.gov/?election_dt=11/08/2016&county_id=0&office=FED&contest=0,Official,65.2%,64.8%,60.2%,"4,769,640","4,741,564","7,317,526","7,880,013",5.9%,"35,726","90,918","10,025","96,665",,NC
North Dakota,http://results.sos.nd.gov/resultsSW.aspx?text=Race&type=SW&map=CTY,Official,61.9%,60.9%,59.3%,"349,945","344,360","565,103","581,188",2.5%,"1,700",0,0,"1,700",,ND
Ohio,https://vote.ohio.gov/,Official,64.2%,62.9%,61.0%,"5,607,641","5,496,487","8,737,876","9,007,953",2.4%,"51,024",0,0,"51,024",,OH
Oklahoma,https://www.ok.gov/elections/support/20161108_seb.html,Official,,52.3%,49.0%,,"1,452,992","2,776,246","2,965,905",4.8%,"27,650","28,568","2,560","46,208",,OK
Oregon,http://sos.oregon.gov/elections/Documents/results/november-2016-results.pdf,Official,68.3%,66.4%,61.7%,"2,056,310","2,001,336","3,012,502","3,244,277",6.7%,"15,075",0,0,"15,075",,OR
Pennsylvania,http://www.electionreturns.pa.gov/ENR_New/General/CountyBreakDownResults?officeId=1&districtId=1&ElectionID=undefined&ElectionType=undefined&IsActive=undefined,Official,,63.0%,60.5%,,"6,115,402","9,700,753","10,108,486",3.5%,"49,643",0,0,"49,643",,PA
Rhode Island,http://www.ri.gov/election/results/2016/general_election/,Official,59.7%,59.1%,54.7%,"469,589","464,144","785,935","848,975",7.0%,"3,294",0,0,"3,294",,RI
South Carolina,http://www.enr-scvotes.org/SC/64658/182853/en/summary.html,Official,57.3%,56.8%,54.2%,"2,123,584","2,103,027","3,705,724","3,883,145",3.4%,"20,917","35,096","5,225","45,796",,SC
South Dakota,https://sdsos.gov/elections-voting/assets/2016GeneralElectionOfficialStateCanvass.pdf,Official,59.9%,58.5%,56.6%,"378,995","370,093","632,939","653,841",2.3%,"3,528",0,"2,611","6,139",,SD
Tennessee,http://sos-tn-gov-files.s3.amazonaws.com/PresidentbyCountyNov2016.pdf,Official,,51.2%,48.6%,,"2,508,027","4,898,659","5,164,969",3.7%,"28,495","62,950","13,498","77,245",,TN
Texas,http://elections.sos.state.tx.us/elchist319_state.htm,Official,51.6%,51.6%,43.4%,"8,975,000","8,969,226","17,393,486","20,671,564",13.5%,"157,361","388,101","111,412","486,110",,TX
Utah,https://elections.utah.gov/election-resources/2016-election-information,Official,57.8%,56.7%,52.8%,"1,152,369","1,131,430","1,995,305","2,144,784",6.7%,"6,824",0,0,"6,824",,UT
Vermont,https://vtelectionresults.sec.state.vt.us/Index.html#/state,Official,64.8%,63.7%,62.3%,"320,467","315,067","494,879","506,048",2.2%,0,0,0,0,,VT
Virginia,http://results.elections.virginia.gov/vaelections/2016%20November%20General/Site/Presidential.html,Official,,66.1%,60.8%,,"3,984,631","6,028,414","6,551,390",6.9%,"36,943","54,966","1,732","69,456",,VA
Washington,http://results.vote.wa.gov/results/current/,Final,65.6%,64.7%,58.3%,"3,363,440","3,317,019","5,123,882","5,691,833",8.6%,"17,345","94,112","9,880","79,928",,WA
West Virginia,http://services.sos.wv.gov/apps/elections/results/,Official,,50.0%,49.1%,,"713,051","1,426,540","1,453,201",0.9%,"6,873","7,174","2,749","13,639",,WV
Wisconsin,http://elections.wi.gov/sites/default/files/Statewide%20Results%20All%20Offices%20%28post-Presidential%20recount%29.pdf,Official,,69.4%,66.2%,,"2,976,150","4,288,556","4,495,783",3.1%,"22,097","46,212","20,010","67,986",,WI
Wyoming,http://soswy.state.wy.us/Elections/Docs/2016/2016GeneralResults.aspx,Official,60.4%,59.7%,57.3%,"258,788","255,849","428,424","446,396",2.7%,"2,330","5,196",715,"5,955",,WY
,,,,,,,,,"2,708,316",,,,,,,